time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.20579258409e-07,1.63996851162e-05,0.00692226618685,0.00393207062065,6.28317917791,0.0,-5.74993682767e-06,0.000998947793072,0.230722796103,0.0205552213864,-0.0020391607098,0.0,476.6678665795414,476.51205291707043,475.7786645142619,477.3494604076572
0.12000000000000001,-6.73286889822e-07,0.000176676086892,0.0261701874642,0.0063667834487,0.000151076092711,0.0,-2.52038667254e-05,0.00460827867169,0.41082522049,0.0314219461116,0.00267584208239,0.0,461.4012584022989,461.7732957019361,461.37876769843155,462.2358370451352
0.18,-8.5222162698e-06,0.000600269626244,0.0550068704731,0.00839784112761,0.00103263817468,0.0,-0.000322673217398,0.00972678800617,0.550338556526,0.0345725689695,0.0108546465064,0.0,448.7699737971646,449.43316501862205,449.70427949469155,449.9597567601449
0.23999999999999996,-4.97850658375e-05,0.00136316640707,0.0893111873576,0.0138192301239,0.00171891040204,0.0,-0.00111582422079,0.016229930111,0.593111573075,0.0132954797678,0.0120293444995,0.0,419.33889049239235,419.44079005036394,418.90867604967104,417.05494874461056
0.3,-0.000154690842385,0.00261498523105,0.127021350025,0.0149629570229,0.0026887196121,0.0,-0.0024823244756,0.025616069164,0.663852984134,0.00554110346526,0.00524313010131,0.0,429.88840658764684,429.312957011157,426.55747852453834,425.8947453706594
0.36000000000000004,-0.00036953973105,0.00447211743756,0.170114371858,0.0165853364138,0.00491881862211,0.0,-0.00492639534645,0.0364689395481,0.772509609767,-0.00815801804691,-0.0111654063297,0.0,440.62529428276906,439.2668920445418,440.89465504065436,439.7615204696519
0.4200000000000001,-0.000797070330269,0.00709999020645,0.225118724683,0.0174557012575,0.00562004281885,0.0,-0.00939940616127,0.0512209122029,1.06074430732,0.00347251804453,0.000517857374144,0.0,493.52978656985573,494.39135026921366,493.00949239135304,493.8680394923745
0.48000000000000015,-0.00148323741285,0.0105489344434,0.291508744529,0.0230145753399,0.00785028579118,0.0,-0.0136817840314,0.0642777801453,1.15215624083,0.0276398651852,0.015607166368,0.0,435.0345640611658,436.2959873309503,434.0340660745748,436.05731539290275
0.5400000000000001,-0.0025979262444,0.0149680971616,0.367095506447,0.024700066535,0.0320549860201,0.0,-0.026292238266,0.0832204126285,1.36712055007,0.0286058935147,0.0672618366102,0.0,471.63537896193156,475.6082930575406,473.1171728281014,473.19168816654195
0.6000000000000002,-0.0048373871205,0.0204594754386,0.451346124724,0.0267016755001,0.0383361420366,0.0,-0.0489874744407,0.100014189922,1.44111478271,0.0333782696092,0.0496026031366,0.0,431.38510306812896,429.894344792466,430.4410827714491,430.84505355025743
0.6600000000000003,-0.00878720406273,0.02716644,0.546106825503,0.0292851080295,0.0413557983691,0.0,-0.0830501029907,0.123883484715,1.71717486555,0.0237443515995,0.0458215138242,0.0,492.3752599076259,492.0966610433845,491.84603672763944,491.1322913132471
0.7200000000000003,-0.0145730502023,0.0351683388825,0.650511388178,0.0328115240706,0.0453692160376,0.0,-0.110198569573,0.143160968035,1.76287818539,0.0384706403987,0.0322464876479,0.0,422.70661336398547,421.5362615818722,422.39082303682807,423.659114746644
0.7800000000000004,-0.0222856105216,0.0445314639349,0.761838918549,0.03544799494,0.0565956061757,0.0,-0.148122431237,0.169241214661,1.94766599878,0.0308807561479,0.0644593179882,0.0,465.24657925164144,467.7627215781714,466.6226380662863,466.03031727569527
0.8400000000000004,-0.0326691686133,0.0556374318866,0.887084079603,0.0416717935728,0.0605764520175,0.0,-0.198485611977,0.201709241017,2.22660454398,0.0526142695919,0.0593814134022,0.0,494.25774295085125,493.885805591415,494.15101894276535,495.7510010071434
0.9000000000000005,-0.0460426475458,0.0687358487313,1.02658331204,0.0449059677511,0.0686687010051,0.0,-0.248188063448,0.235257663409,2.42288977593,0.054687938024,0.0815254908239,0.0,470.51897118133337,472.23321674535646,472.1536899152082,472.3153250973402
0.9600000000000005,-0.0624453793546,0.0838020669767,1.17514298865,0.0488551945257,0.0875888819269,0.0,-0.300543807369,0.267328717903,2.52868694348,0.0625205906064,0.0392778081343,0.0,446.7057802911802,443.2509411682043,445.32447457830887,445.9669482949586
1.0200000000000005,-0.0822986954735,0.100915891314,1.32977483112,0.0663172027012,0.0904866066528,0.0,-0.361517781945,0.304933936882,2.62534098919,0.0207403568655,0.0299310182324,0.0,443.38314651816177,442.61519551536134,445.3074466173656,441.8782151652416
1.0800000000000005,-0.105839692437,0.120559882494,1.48987421627,0.0675707683134,0.0927226713641,0.0,-0.423396872503,0.349972363608,2.71105441254,0.0211332301392,0.0213644395997,0.0,440.303497118126,439.59439554384795,441.13441289380233,441.16684609655425
1.1400000000000006,-0.133264385479,0.143024929787,1.65649243096,0.0688450357486,0.0940065620431,0.0,-0.490868371397,0.398974494801,2.8425204697,0.0184522830563,0.0214617065953,0.0,455.10678782715456,455.11456279336113,455.8149106422664,455.6005776742826
1.2000000000000006,-0.164461916465,0.168226851728,1.82762359946,0.0712830205489,0.0993857406301,0.0,-0.54955247248,0.44128725326,2.86171408886,0.029946365048,-0.00192879472422,0.0,422.9258399757614,420.9063023237609,418.06886709026236,419.06924412429566
1.2600000000000007,-0.199400731099,0.196105236729,2.00117980582,0.074311863373,0.102374565442,0.0,-0.615369732591,0.488254289601,2.9232547934,0.0409645331138,-0.0224675088929,0.0,435.77841543595895,434.0582539408051,433.5428451414206,434.4681195642108
